id;membership_id;invoice_date;amount_due
1;1;2015-03-01;15
2;1;2016-03-01;15
3;1;2017-03-01;15
4;1;2018-03-01;15
5;2;2017-03-01;45
6;2;2018-03-01;45
7;3;2018-03-01;15
8;4;2013-03-01;45
9;4;2014-03-01;45
10;5;2011-03-01;45
11;5;2012-03-01;45
12;5;2013-03-01;45
13;5;2014-03-01;45
14;5;2015-03-01;45
15;5;2016-03-01;45
16;5;2017-03-01;45
17;5;2018-03-01;45
18;6;2003-03-01;45
19;6;2004-03-01;45
20;6;2005-03-01;45
21;6;2006-03-01;45
22;6;2007-03-01;45
23;6;2008-03-01;45
24;6;2009-03-01;45
25;6;2010-03-01;45
26;6;2011-03-01;45
27;6;2012-03-01;45
28;6;2013-03-01;45
29;6;2014-03-01;45
30;6;2015-03-01;45
31;6;2016-03-01;45
32;6;2017-03-01;45
33;6;2018-03-01;45
34;7;2010-03-01;45
35;7;2011-03-01;45
36;7;2012-03-01;45
37;7;2013-03-01;45
38;7;2014-03-01;45
39;8;2015-03-01;45
40;8;2016-03-01;45
41;8;2017-03-01;45
42;8;2018-03-01;45
43;9;1975-03-01;45
44;9;1976-03-01;45
45;9;1977-03-01;45
46;9;1978-03-01;45
47;9;1979-03-01;45
48;9;1980-03-01;45
49;9;1981-03-01;45
50;9;1982-03-01;45
51;9;1983-03-01;45
52;9;1984-03-01;45
53;9;1985-03-01;45
54;9;1986-03-01;45
55;9;1987-03-01;45
56;9;1988-03-01;45
57;9;1989-03-01;45
58;9;1990-03-01;45
59;9;1991-03-01;45
60;9;1992-03-01;45
61;9;1993-03-01;45
62;9;1994-03-01;45
63;9;1995-03-01;45
64;9;1996-03-01;45
65;9;1997-03-01;45
66;9;1998-03-01;45
67;9;1999-03-01;45
68;9;2000-03-01;45
69;9;2001-03-01;45
70;9;2002-03-01;45
71;9;2003-03-01;45
72;9;2004-03-01;45
73;9;2005-03-01;45
74;9;2006-03-01;45
75;9;2007-03-01;45
76;9;2008-03-01;45
77;9;2009-03-01;45
78;9;2010-03-01;45
79;9;2011-03-01;45
80;9;2012-03-01;45
81;9;2013-03-01;45
82;9;2014-03-01;45
83;9;2015-03-01;45
84;9;2016-03-01;45
85;9;2017-03-01;45
86;9;2018-03-01;45
87;10;2018-03-01;20
