id;member_id;member_type;member_since;member_until
1;1;youth;2015-01-01;
2;2;full;2017-01-01;
3;3;youth;2018-01-01;
4;4;full;2013-01-01;2015-01-01
5;5;full;2011-01-01;
6;6;full;2003-01-01;
7;7;full;2010-01-01;2015-01-01
8;8;full;2015-01-01;
9;9;full;1975-01-01;
10;10;combi;2018-01-01;
11;11;full;1986-01-01;
12;12;combi;2004-01-01;
13;13;full;2018-01-01;
14;14;full;2010-01-01;2014-01-01
15;15;full;2015-01-01;
16;16;full;1995-01-01;
17;17;full;2015-01-01;
18;18;youth;2018-01-01;
19;19;full;1981-01-01;
20;20;full;2008-01-01;
21;21;full;1991-01-01;
22;22;full;2013-01-01;
23;23;full;2009-01-01;2018-01-01
24;24;full;1967-01-01;
25;25;reduction;2016-01-01;
26;26;full;2015-01-01;
27;27;full;1993-01-01;2000-01-01
28;28;full;2007-01-01;
29;29;full;1961-01-01;
30;30;full;1998-01-01;2015-01-01
31;31;combi;2015-01-01;2018-01-01
32;32;full;1998-01-01;2006-01-01
33;33;full;2013-01-01;
34;34;full;2015-01-01;2016-01-01
35;35;full;1993-01-01;2011-01-01
36;36;full;1993-01-01;1996-01-01
37;37;full;1995-01-01;
38;38;full;2009-01-01;
39;39;full;1996-01-01;
40;40;combi;2014-01-01;
41;41;full;2013-01-01;
42;42;full;1979-01-01;
43;43;youth;2017-01-01;
44;44;full;2012-01-01;2012-01-01
45;45;free;1996-01-01;
46;46;free;2015-01-01;2015-01-01
47;47;full;2005-01-01;2018-01-01
48;48;youth;2017-01-01;
49;49;full;2007-01-01;
50;50;full;2017-01-01;2018-01-01
51;51;combi;2014-01-01;
52;52;full;2010-01-01;
53;53;full;1998-01-01;
54;54;youth;2014-01-01;2014-01-01
55;55;full;2013-01-01;2015-01-01
56;56;full;1973-01-01;
57;57;full;2014-01-01;
58;58;youth;2018-01-01;2018-01-01
59;59;reduction;2006-01-01;
60;60;combi;2017-01-01;
61;61;full;2012-01-01;
62;62;full;2013-01-01;2016-01-01
63;63;full;1991-01-01;
64;64;youth;2015-01-01;
65;65;full;2010-01-01;
66;66;full;2001-01-01;
67;67;combi;2012-01-01;
68;68;full;2016-01-01;
69;69;combi;2017-01-01;
70;70;reduction;1987-01-01;1999-01-01
71;71;full;1999-01-01;2005-01-01
72;72;full;2000-01-01;
73;73;combi;2010-01-01;
74;74;youth;2017-01-01;
75;75;full;2017-01-01;
76;76;free;2001-01-01;
77;77;full;2014-01-01;
78;78;full;1976-01-01;
79;79;full;1988-01-01;
80;80;full;1998-01-01;2007-01-01
81;81;youth;2016-01-01;
82;82;full;1994-01-01;
83;83;full;2014-01-01;
84;84;free;2010-01-01;
85;85;combi;2013-01-01;
86;86;full;1977-01-01;
87;87;free;1983-01-01;1989-01-01
88;88;full;1992-01-01;
89;89;full;2014-01-01;
90;90;full;2012-01-01;
91;91;full;1996-01-01;
92;92;full;2015-01-01;
93;93;youth;2014-01-01;
94;94;youth;2018-01-01;2018-01-01
95;95;full;1990-01-01;
96;96;reduction;2013-01-01;
97;97;combi;2018-01-01;2018-01-01
98;98;full;1988-01-01;
99;99;full;2017-01-01;2018-01-01
100;100;free;1997-01-01;2011-01-01
101;101;full;2016-01-01;
102;102;free;1989-01-01;2003-01-01
103;103;full;1984-01-01;
104;104;full;2015-01-01;
105;105;full;2005-01-01;
106;106;full;1993-01-01;
