id;invoice_id;payment_date;amount_paid
1;1;2015-11-16;15
2;2;2016-11-14;15
3;6;2018-05-08;45
4;7;2018-10-17;15
5;8;2013-04-17;45
6;9;2014-12-12;45
7;10;2011-05-20;45
8;11;2012-09-17;45
9;13;2014-11-10;45
10;15;2016-07-11;45
11;16;2017-09-13;45
12;17;2018-07-14;45
13;18;2003-09-12;45
14;19;2004-11-27;45
15;20;2005-04-03;45
16;22;2007-08-16;45
17;23;2008-07-22;45
18;24;2009-09-01;45
19;25;2010-04-05;45
20;26;2011-04-14;45
21;27;2012-11-27;45
22;28;2013-04-05;50.93
23;29;2014-08-01;45
24;30;2015-06-25;45
25;31;2016-08-14;45
26;32;2017-10-09;45
27;33;2018-10-08;45
28;34;2010-08-04;45
29;35;2011-05-16;45
30;36;2012-05-15;45
31;37;2013-06-08;45
32;38;2014-07-04;45
33;39;2015-05-23;75.13
34;40;2016-03-12;45
35;41;2017-06-08;45
36;42;2018-11-06;45
37;43;1975-09-11;45
38;44;1976-09-03;45
39;45;1977-12-08;45
40;46;1978-07-28;45
41;47;1979-09-13;67.59
42;48;1980-11-16;45
43;49;1981-06-27;45
44;50;1982-09-04;45
45;51;1983-11-18;45
46;52;1984-06-19;45
47;53;1985-10-28;45
48;54;1986-11-21;45
49;55;1987-06-11;98.73
50;56;1988-03-23;53.74
51;57;1989-11-16;45
52;58;1990-05-06;45
53;59;1991-08-24;45
54;60;1992-06-25;45
55;61;1993-03-08;45
56;62;1994-12-27;45
57;63;1995-04-16;45
58;64;1996-07-07;45
59;65;1997-08-21;45
60;66;1998-04-23;45
61;67;1999-11-05;45
62;68;2000-03-18;45
63;69;2001-04-27;45
64;70;2002-06-03;45
65;71;2003-09-19;45
66;72;2004-11-19;45
67;73;2005-07-06;45
68;74;2006-08-25;45
69;76;2008-07-21;45
70;77;2009-06-23;45
71;78;2010-05-07;45
72;79;2011-12-13;45
73;80;2012-10-01;45
74;81;2013-11-04;45
75;82;2014-07-18;45
76;83;2015-06-12;45
77;84;2016-11-13;45
78;86;2018-04-18;45
79;87;2018-11-05;20
80;88;1986-12-11;45
81;89;1987-10-27;45
82;90;1988-11-23;45
83;91;1989-03-21;34.71
84;92;1990-11-10;85.35
85;93;1991-07-18;45
86;94;1992-11-12;45
87;95;1993-12-11;45
88;96;1994-03-25;45
89;97;1995-03-06;45
90;98;1996-12-04;45
91;99;1997-10-10;45
92;100;1998-03-20;45
93;101;1999-03-24;45
94;102;2000-04-02;45
95;103;2001-07-23;37.41
96;104;2002-07-02;73.87
97;105;2003-03-02;45
98;106;2004-12-14;45
99;107;2005-08-10;45
100;108;2006-08-07;45
101;109;2007-09-03;45
102;110;2008-05-09;45
103;111;2009-09-02;45
104;112;2010-08-03;45
105;113;2011-08-11;45
106;114;2012-04-07;45
107;115;2013-05-04;45
108;116;2014-05-24;45
109;117;2015-06-03;45
110;118;2016-06-13;45
111;119;2017-05-19;45
112;120;2018-10-04;45
113;121;2004-05-19;20
114;122;2005-11-04;68.26
115;123;2006-05-16;20
116;124;2007-08-24;20
117;125;2008-07-20;34.26
118;126;2009-09-06;20
119;127;2010-03-10;80.45
120;128;2011-03-19;20
121;129;2012-07-27;20
122;130;2013-08-03;20
123;132;2015-11-24;20
124;133;2016-06-11;20
125;136;2018-11-06;73.08
126;137;2010-04-19;45
127;138;2011-07-25;45
128;139;2012-04-11;45
129;140;2013-03-28;45
130;141;2015-11-07;45
131;142;2016-07-02;54.76
132;143;2017-10-13;45
133;144;2018-11-25;45
134;145;1995-11-17;45
135;146;1996-10-03;45
136;147;1997-09-01;45
137;148;1998-06-28;28.38
138;150;2000-07-12;45
139;151;2001-07-11;45
140;152;2002-06-28;45
141;153;2003-05-28;45
142;154;2004-03-12;45
143;155;2005-12-22;45
144;156;2006-06-04;45
145;157;2007-04-07;45
146;158;2008-06-25;45
147;159;2009-03-01;45
148;160;2010-08-18;45
